,HEK_1091,HEK_1168,HEK_1171,LG_1091,LG_1168,LG_1171
-58,0,0,0,72,0,0
-56,0,0,0,0,0,0
-52,0,0,0,1,0,0
-51,0,0,0,0,0,0
-50,1,0,0,2,0,0
-49,4,0,0,8,0,0
-48,2,0,0,0,13,1
-47,0,0,0,0,0,0
-46,0,0,1,0,0,1
-45,0,0,0,0,0,0
-44,0,0,0,0,0,49
-43,1,0,0,0,8,21
-42,0,1,0,0,25,0
-41,0,0,0,1,26,0
-40,0,0,0,0,11,0
-39,1,0,0,0,0,2
-38,0,1,0,0,10,6
-37,2,0,0,1,0,41
-36,0,0,0,0,8,14
-35,1,3,0,32,131,38
-34,0,1,0,14,76,45
-33,1,0,0,3,35,20
-32,0,0,0,34,141,106
-31,0,2,0,65,120,6
-30,1,0,0,17,103,58
-29,0,1,0,43,41,35
-28,0,2,0,1,206,50
-27,0,2,0,39,54,139
-26,1,5,0,28,103,61
-25,1,0,0,17,32,131
-24,0,0,0,37,140,249
-23,1,3,0,8,127,111
-22,0,2,0,11,55,65
-21,0,0,1,26,140,371
-20,1,0,0,10,118,26
-19,2,37,0,53,1292,144
-18,2,8,3,73,80,914
-17,0,0,1,15,181,161
-16,2,0,0,39,177,236
-15,0,0,0,58,40,284
-14,0,1,0,151,77,231
-13,0,1,0,62,122,382
-12,1,51,0,100,1005,225
-11,0,2,1,65,1428,466
-10,0,2,1,59,231,610
-9,2,3,0,490,545,472
-8,1,1,0,85,180,1055
-7,0,2,0,43,174,265
-6,0,6,0,101,1261,255
-5,9,7,0,535,1041,287
-4,2,2,4,59,117,429
-3,3,3,0,113,27,1338
-2,17,15,3,526,239,622
-1,115,352,37,240,774,3125
0,219133,169603,26333,237608,155019,154820
1,13,17,1,432,2083,1843
2,2,3,0,73,119,333
3,0,1,0,93,49,230
4,8,2,0,12,13,120
5,1,0,0,18,20,56
6,2,0,0,17,40,32
7,0,0,0,3,15,41
8,0,0,0,19,3,18
9,0,0,0,22,10,25
10,1,0,0,11,8,7
11,0,1,0,17,7,16
12,0,1,0,7,9,10
13,1,2,0,6,5,28
14,13,0,0,19,8,10
15,0,1,1,4,7,11
16,4,0,1,11,3,28
17,0,1,0,3,1,23
18,0,0,1,4,6,8
19,1,2,0,3,2,20
20,0,0,0,4,0,14
21,0,0,1,6,2,19
22,0,1,1,4,5,5
23,1,0,1,2,1,5
24,2,0,0,4,4,4
25,2,1,1,3,2,1
26,1,1,0,9,3,5
27,0,0,0,2,4,10
28,1,2,0,3,5,3
29,0,1,0,1,1,1
30,2,1,1,0,1,6
31,0,0,1,6,2,8
32,0,0,0,2,0,0
33,1,1,0,2,0,1
34,0,1,0,5,2,0
35,2,0,0,2,3,4
36,1,0,0,3,2,0
37,1,0,0,3,0,0
38,2,0,1,0,1,1
39,2,0,0,0,3,0
40,1,0,1,0,1,1
41,1,2,2,2,0,8
42,1,3,0,1,2,3
43,0,1,0,1,0,4
44,1,0,1,2,0,1
45,1,3,0,1,0,2
46,0,9,0,2,0,0
47,0,1,0,0,0,2
48,0,1,0,3,1,0
49,2,0,0,3,0,1
50,0,1,0,1,1,0
51,0,0,1,2,1,4
52,0,0,2,0,0,2
53,3,0,1,3,0,2
54,0,0,0,0,0,0
55,2,0,1,0,0,0
56,0,0,0,0,1,1
57,1,0,0,0,0,0
58,0,0,0,0,0,0
59,0,0,0,0,0,3
60,1,0,0,1,0,1
61,2,0,0,1,0,1
62,0,0,0,1,0,0
63,0,0,0,2,0,1
64,0,0,0,1,0,2
65,0,0,0,0,1,1
66,0,0,0,0,1,0
67,1,1,1,0,0,1
68,0,0,0,0,0,0
69,0,1,0,1,0,0
70,1,0,1,0,0,1
71,0,0,0,1,0,0
72,1,0,0,0,1,1
75,0,0,0,0,1,0
76,0,1,0,0,0,0
77,0,1,0,0,0,0
78,1,0,0,0,0,0
79,1,0,0,1,0,0
efficiency,0.1181930608,0.3425646952,0.2810162154,1.7684589745,8.49831311,10.4224260431
